commit,author,date,title,faultID,file
6000db7,Brian Coca,2015-05-26 11:49:56,Merge pull request #9636 from Batmat/fix-message-i18n-parsing-error,9635
b6ea8de,Serge van Ginderachter,2015-05-23 20:30:08,limit extensions for files in group/host_vars dir,11017,lib/ansible/utils/__init__.py
ae9ba4a,Leonid Evdokimov,2014-07-03 10:32:31,"uri: provide raw_content, parse json without double-decoding. Fixes #7586",7586
b23a879,Brian Coca,2015-05-04 16:42:25,now properly inherit data from ansible.cfg for sudo/su ask pass fixes #10891,10891,lib/ansible/utils/__init__.py
b23a879,Brian Coca,2015-05-04 16:42:25,now properly inherit data from ansible.cfg for sudo/su ask pass fixes #10891,10891,v2/ansible/cli/__init__.py
c58aaf7,James Cammarata,2015-04-21 09:48:13,Properly handle lack of stdout in results in v2,10549,v2/ansible/plugins/action/__init__.py
d600c65,James Cammarata,2015-04-20 11:15:31,Fix fetch action plugin in v2 to use the inventory_hostname in the dest dir,10736,v2/ansible/plugins/action/fetch.py
d8be6fe,Peter Oliver,2015-04-19 17:00:35,"Consistently use ""OracleLinux"" in OS detection.",10742,lib/ansible/module_utils/facts.py
2a6a01e,Michael Scherer,2015-04-18 22:33:55,Port some changes that occured on v1 get_facts modules to v2,10485,v2/ansible/module_utils/facts.py
f4172fb,James Cammarata,2015-04-17 13:00:25,Fix tag handling on meta:flush_handlers tasks,10758,lib/ansible/playbook/play.py
f4172fb,James Cammarata,2015-04-17 13:00:25,Fix tag handling on meta:flush_handlers tasks,10758,lib/ansible/playbook/task.py
5675982,Chris Church,2015-04-09 13:36:58,"Only try kerberos auth when username contains `@` and pass realm to pywinrm. Alternative to #10644, fixes #10577.",10577,lib/ansible/runner/connection_plugins/winrm.py
1fa3dbb,Brian Coca,2015-04-01 12:12:34,capture IOErrors on backup_local (happens on non posix filesystems),10591,lib/ansible/module_utils/basic.py
aaa25eb,Toshio Kuratomi,2015-03-25 12:22:45,Make run_command() work when we get byte str with non-ascii characters (instead of unicode type like we were expecting),10536,lib/ansible/module_utils/basic.py
ec8118e,Brian Coca,2015-03-21 02:02:59,"now ansible ignores tempate errors on passwords they could be caused by random character combinations, fixes #10468",10468,lib/ansible/runner/__init__.py
d4eddab,Eri Bastos,2015-03-20 14:40:44,Patch for bug #10485 - ansible_distribution fact populates as 'RedHat' on Oracle Linux systems,10485,lib/ansible/module_utils/facts.py
23f7538,Toshio Kuratomi,2015-03-16 14:51:08,Merge pull request #10467 from sgargan/ec2_creds_error,10422
fbff044,Steve Gargan,2015-03-15 12:20:34,fix for issue #10422. outputs informative error message when AWS credentials are not available,10422,plugins/inventory/ec2.py
587ab17,Brian Coca,2015-03-11 15:55:37,fixes password error detection for ssh connection plugin removes sycnronize test that does not work with current sudo setup Fixes #10434,10434,lib/ansible/constants.py
587ab17,Brian Coca,2015-03-11 15:55:37,fixes password error detection for ssh connection plugin removes sycnronize test that does not work with current sudo setup Fixes #10434,10434,lib/ansible/runner/connection_plugins/ssh.py
587ab17,Brian Coca,2015-03-11 15:55:37,fixes password error detection for ssh connection plugin removes sycnronize test that does not work with current sudo setup Fixes #10434,10434,test/units/TestSynchronize.py
de5eae2,Brian Coca,2015-03-11 12:18:53,fixed traceback when x_user implicitly sets the become method,10430,lib/ansible/playbook/play.py
de5eae2,Brian Coca,2015-03-11 12:18:53,fixed traceback when x_user implicitly sets the become method,10430,lib/ansible/playbook/task.py
2d73892,Shirou WAKAYAMA,2015-03-11 14:50:27,use to_unicode() in _jinja2_vars if type is str.,10426,lib/ansible/utils/template.py
a8c02b7,Toshio Kuratomi,2015-03-02 12:25:41,Rework the shell quoting of remote checksumming,10363,lib/ansible/runner/shell_plugins/csh.py
a8c02b7,Toshio Kuratomi,2015-03-02 12:25:41,Rework the shell quoting of remote checksumming,10363,lib/ansible/runner/shell_plugins/sh.py
8915995,Toshio Kuratomi,2015-02-26 14:05:33,Fix name of a task containing a template causing traceback,10321,lib/ansible/playbook/__init__.py
8a5067d,Toshio Kuratomi,2015-02-26 12:28:02,Adapt sanitize_output to log messages instead of assuming properly formatted key-value pairs,10332,lib/ansible/utils/__init__.py
affb664,Toshio Kuratomi,2015-02-25 11:26:07,Port fix for #10300 to v2,10300,v2/ansible/plugins/action/template.py
affb664,Toshio Kuratomi,2015-02-25 11:26:07,Port fix for #10300 to v2,10300,v2/ansible/plugins/shell/sh.py
ac40ffa,Toshio Kuratomi,2015-02-25 11:09:27,"If remote_checksum fails because the dest is a directory, try a file within the dest.",10300,lib/ansible/runner/action_plugins/template.py
b9aa8f0,Brian Coca,2015-02-23 05:17:41,skips certain ssh errors and attempts to continue should fix #10225,10225,lib/ansible/runner/connection_plugins/ssh.py
2dc910b,Alvaro Lopez Ortega,2015-02-21 22:36:03,Fixes bug #10225 - Runtime error,10225,v2/ansible/plugins/connections/ssh.py
2e929cf,Alvaro Lopez Ortega,2015-02-21 19:54:38,Fixes bug #10281 - Trailing zeros were truncated from strings,10281,lib/ansible/inventory/ini.py
a14248f,Alvaro Lopez Ortega,2015-02-21 16:40:50,Fixes bug #10281 - Trailing zeros were truncated from strings,10281,lib/ansible/inventory/ini.py
5416a99,Brian Coca,2015-02-16 15:02:48,Merge pull request #10258 from stratoukos/issue_10257,10257
6caeded,Stratos Moros,2015-02-16 21:16:26,Fix umask calculation on file creation. Fixes #10257,10257,lib/ansible/module_utils/basic.py
0b8101a,Brian Coca,2015-02-11 13:57:04,Merge pull request #10141 from dresden-weekly/fix_#10051,10051
10df1b8,Toshio Kuratomi,2015-02-11 00:10:37,Fix template module broken when modifying symlinks,10208,lib/ansible/runner/action_plugins/template.py
402a6d0,Toshio Kuratomi,2015-02-09 14:30:06,Explicitly close files opened by facts,10157,lib/ansible/module_utils/facts.py
402a6d0,Toshio Kuratomi,2015-02-09 14:30:06,Explicitly close files opened by facts,10157,v2/ansible/module_utils/facts.py
8b7dc6b,Brian Coca,2015-02-08 23:23:30,better missing editor message fixes #10182,10182,lib/ansible/utils/vault.py
cbbe2f4,Brian Coca,2015-02-03 10:26:48,more resilient errors for bad host declarations in play should fix #10148,10148,lib/ansible/playbook/play.py
6d78862,Toshio Kuratomi,2015-02-02 13:37:31,Be explicit about unicode str transformation,10126,lib/ansible/callbacks.py
3d5523f,Toshio Kuratomi,2015-01-28 14:23:46,Fix for unicode filenames for template module,10110,lib/ansible/utils/template.py
915d232,Toshio Kuratomi,2015-01-26 20:37:20,jinja2 cannot handle byte strs with non-ascii.  So we need to transform potential byte str into unicode type.  This fix is for dynamic inventory.,10007,lib/ansible/callbacks.py
915d232,Toshio Kuratomi,2015-01-26 20:37:20,jinja2 cannot handle byte strs with non-ascii.  So we need to transform potential byte str into unicode type.  This fix is for dynamic inventory.,10007,lib/ansible/inventory/script.py
915d232,Toshio Kuratomi,2015-01-26 20:37:20,jinja2 cannot handle byte strs with non-ascii.  So we need to transform potential byte str into unicode type.  This fix is for dynamic inventory.,10007,lib/ansible/module_utils/basic.py
